text,label,preprocessed_text
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",neutral,"technopoli plan develop stage area le 100,000 squar meter order host compani work comput technolog telecommun statement said"
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",negative,intern electron industri compani elcoteq laid ten employe tallinn facil contrari earlier layoff compani contract rank offic worker daili postime report
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,positive,new product plant compani would increas capac meet expect increas demand would improv use raw materi therefor increas product profit
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive,accord compani 's updat strategi year 2009-2012 baswar target long-term net sale growth rang 20 -40 oper profit margin 10 -20 net sale
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,positive,financ aspocomp 's growth aspocomp aggress pursu growth strategi increasingli focus technolog demand hdi print circuit board pcb
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,last quarter 2010 componenta 's net sale doubl eur131m eur76m period year earlier move zero pre-tax profit pre-tax loss eur7m
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,third quarter 2010 net sale increas 5.2 eur 205.5 mn oper profit 34.9 eur 23.5 mn
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,oper profit rose eur 13.1 mn eur 8.7 mn correspond period 2007 repres 7.7 net sale
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,oper profit total eur 21.1 mn eur 18.6 mn 2007 repres 9.7 net sale
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive,teliasonera tlsn said offer line strategi increas ownership core busi hold would strengthen eesti telekom 's offer custom
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",positive,stora enso norsk skog m-real upm-kymmen credit suiss first boston cfsb rais fair valu share four largest nordic forestri group
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive,"purchas agreement 7,200 ton gasolin deliveri hamina termin finland sign nest oil oyj averag platt index septemb plu eight u dollar per month"
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,finnish talentum report oper profit increas eur 20.5 mn 2005 eur 9.3 mn 2004 net sale total eur 103.3 mn eur 96.4 mn
